Product,Colors
Air65 V3,"Nova White, Nebula Dark"
Air75 V3,"Nova White, Nebula Dark"
Air100 V3,"Nova White, Nebula Dark"
Air60 V2,"Ionic White, Basalt Black, Lunar Gray"
Air75 V2,"Ionic White, Basalt Black, Lunar Gray"
Air96 V2,"Ionic White, Basalt Black, Lunar Gray"
Kick75,
Node75,Lunar White£¬Ink Gray£¬Light Pink
Node100,Lunar White£¬Ink Gray£¬Light Pink
Halo65 V2,"Ionic White,Obsidian Black£¬Mojito£¬Blue Lagoon£¬Sakura Fizz"
Halo75 V2,"Ionic White,Obsidian Black£¬Mojito£¬Blue Lagoon£¬Sakura Fizz"
Halo96 V2,"Ionic White,Obsidian Black£¬Mojito£¬Blue Lagoon£¬Sakura Fizz"
WH80,
Field75,
BH65,
Air60 HE,
Air75 HE,
